ID,utility_payment_regularity,avg_monthly_utility_spend,mobile_recharge_pattern,household_deprivation_score,housing_type,asset_ownership_count,household_size_to_earners_ratio,primary_income_source
1,Regular,890,Bi-weekly,35.4,Pucca,5,1.5,Daily Wage
2,Irregular,1261,Weekly,24.9,Pucca,5,1.0,Business
3,Regular,746,Ad-hoc,41.6,Pucca,5,1.5,Daily Wage
4,Regular,1373,Weekly,16.0,Pucca,9,1.7,Salaried
5,Irregular,492,Monthly,55.0,Kutcha,6,2.3,Business
6,Regular,1151,Weekly,11.1,Pucca,10,1.5,Business
7,Regular,819,Ad-hoc,51.0,Semi-pucca,4,2.0,Daily Wage
8,Regular,1235,Weekly,17.7,Pucca,7,1.7,Salaried
9,Regular,920,Bi-weekly,19.8,Semi-pucca,9,2.0,Business
10,Regular,1132,Monthly,37.6,Semi-pucca,7,1.5,Agriculture
11,Irregular,907,Ad-hoc,54.3,Semi-pucca,5,2.0,Daily Wage
12,Regular,1573,Weekly,8.5,Pucca,7,1.3,Pension
13,Defaulted,1104,Ad-hoc,35.8,Kutcha,5,1.6,Agriculture
14,Regular,996,Bi-weekly,27.3,Semi-pucca,7,1.7,Business
15,Regular,1102,Weekly,13.4,Semi-pucca,9,1.3,Salaried
16,Irregular,952,Ad-hoc,35.3,Pucca,7,2.0,Agriculture
17,Irregular,1559,Monthly,13.3,Pucca,9,1.3,Business
18,Regular,1047,Bi-weekly,32.6,Pucca,7,2.0,Agriculture
19,Regular,1230,Bi-weekly,16.6,Pucca,8,2.0,Salaried
20,Regular,1364,Bi-weekly,20.8,Semi-pucca,9,1.3,Salaried
21,Regular,947,Weekly,26.3,Pucca,8,1.3,Business
22,Defaulted,1046,Monthly,39.0,Pucca,6,1.8,Agriculture
23,Regular,1303,Monthly,15.4,Pucca,8,1.7,Salaried
24,Regular,1197,Ad-hoc,30.6,Pucca,7,1.7,Agriculture
25,Regular,1295,Monthly,20.3,Pucca,9,1.5,Business
26,Regular,1189,Bi-weekly,18.4,Semi-pucca,8,1.3,Business
27,Defaulted,801,Bi-weekly,36.8,Semi-pucca,7,1.3,Daily Wage
28,Defaulted,1098,Weekly,20.2,Pucca,10,2.0,Salaried
29,Regular,1312,Bi-weekly,18.6,Pucca,8,1.7,Salaried
30,Regular,1347,Bi-weekly,28.4,Pucca,6,1.8,Salaried
31,Regular,1118,Weekly,10.0,Pucca,10,1.0,Salaried
32,Regular,991,Bi-weekly,20.8,Pucca,6,1.7,Salaried
33,Defaulted,839,Ad-hoc,31.0,Semi-pucca,6,1.3,Business
34,Regular,1243,Bi-weekly,4.4,Semi-pucca,10,1.3,Business
35,Regular,1395,Weekly,12.5,Semi-pucca,9,1.2,Salaried
36,Regular,1352,Weekly,21.1,Pucca,6,2.0,Salaried
37,Irregular,714,Ad-hoc,35.8,Kutcha,6,1.5,Daily Wage
38,Defaulted,513,Ad-hoc,65.2,Kutcha,3,1.7,Agriculture
39,Regular,1026,Weekly,16.2,Semi-pucca,8,1.5,Salaried
40,Regular,1202,Bi-weekly,6.9,Pucca,10,1.2,Salaried
41,Regular,1284,Weekly,7.7,Semi-pucca,10,1.5,Salaried
42,Regular,1152,Weekly,17.4,Semi-pucca,8,2.0,Business
43,Irregular,874,Bi-weekly,54.3,Kutcha,4,2.0,Agriculture
44,Regular,1062,Weekly,6.2,Pucca,8,1.5,Salaried
45,Regular,1067,Monthly,23.6,Semi-pucca,9,1.7,Salaried
46,Irregular,1246,Ad-hoc,31.3,Kutcha,8,1.2,Daily Wage
47,Defaulted,1428,Weekly,15.3,Pucca,8,1.3,Salaried
48,Defaulted,1207,Ad-hoc,38.7,Semi-pucca,7,1.5,Agriculture
49,Irregular,922,Ad-hoc,48.5,Kutcha,5,1.5,Business
50,Regular,1202,Weekly,9.6,Pucca,9,1.3,Pension
51,Defaulted,1021,Ad-hoc,36.6,Semi-pucca,7,1.7,Business
52,Regular,1425,Bi-weekly,29.8,Pucca,6,1.8,Business
53,Regular,1079,Bi-weekly,22.4,Semi-pucca,7,1.0,Salaried
54,Regular,1475,Bi-weekly,16.4,Pucca,9,1.2,Salaried
55,Defaulted,551,Bi-weekly,46.1,Semi-pucca,5,2.0,Agriculture
56,Regular,1371,Weekly,9.8,Pucca,10,1.5,Salaried
57,Regular,1293,Bi-weekly,17.9,Semi-pucca,10,1.0,Pension
58,Irregular,1074,Ad-hoc,34.3,Semi-pucca,6,1.7,Daily Wage
59,Regular,1159,Weekly,27.5,Semi-pucca,5,2.0,Business
60,Regular,985,Bi-weekly,44.3,Kutcha,3,2.0,Agriculture
61,Defaulted,1333,Monthly,13.3,Pucca,8,1.3,Business
62,Irregular,912,Monthly,40.1,Semi-pucca,5,2.0,Daily Wage
63,Regular,1007,Monthly,32.3,Pucca,7,1.8,Agriculture
64,Irregular,887,Weekly,29.2,Pucca,7,1.7,Business
