age,loan_amount,loan_tenure_months,number_of_loans,on_time_repayments_percentage,missed_payments_total,avg_monthly_electricity_units,avg_monthly_mobile_recharge,business_activity,loan_default_status
25,84421,36,5,99.14,2,310,247,Tailoring,0
52,72133,48,5,93.97,1,240,172,Food Stall,0
22,122304,60,5,88.52,7,293,292,Tailoring,0
23,104764,24,2,91.53,0,54,669,Tailoring,0
43,147075,24,4,63.42,10,103,340,Food Stall,0
61,131642,36,3,73.58,7,362,181,Food Stall,0
57,68054,60,6,96.27,2,256,643,Retail Shop,1
26,168041,12,7,60.64,6,302,169,Food Stall,0
25,90690,60,1,96.65,0,184,398,Food Stall,0
63,76768,48,4,99.46,3,64,597,Artisan,0
33,163231,60,5,72.1,8,132,704,Food Stall,0
24,47730,60,7,93.34,0,108,781,Food Stall,0
63,35729,24,5,90.94,7,206,608,Handicrafts,0
53,95462,12,3,79.16,2,184,700,Food Stall,0
34,86487,60,4,93.73,3,336,702,Farming,0
45,41841,48,7,92.29,3,79,535,Retail Shop,0
60,113417,60,4,98.05,2,380,339,Retail Shop,0
37,194559,24,2,90.18,4,62,491,Farming,0
44,55023,48,8,90.0,1,104,794,Handicrafts,0
53,144820,48,3,94.83,3,390,371,Tailoring,0
62,101742,60,8,84.95,6,359,451,Retail Shop,0
31,148628,36,2,70.44,9,162,255,Retail Shop,0
58,123021,12,5,98.27,1,317,318,Artisan,1
37,118188,24,7,95.04,0,288,519,Handicrafts,0
35,32558,12,8,83.81,10,241,609,Handicrafts,0
38,180729,36,3,98.66,0,129,437,Retail Shop,0
57,61616,36,7,77.77,4,176,253,Food Stall,0
60,62808,36,2,95.61,0,186,530,Farming,0
26,28400,24,5,91.28,9,341,253,Farming,0
56,106129,24,8,99.91,3,94,299,Artisan,0
36,176460,48,2,94.38,0,218,685,Farming,0
64,36702,60,8,99.39,1,302,281,Farming,0
63,70141,60,8,92.43,3,109,612,Handicrafts,0
51,66193,36,7,95.55,3,78,421,Retail Shop,0
53,195286,36,1,95.57,0,231,180,Artisan,0
38,101222,60,7,99.27,1,190,617,Artisan,0
58,119852,12,6,96.83,3,279,252,Artisan,1
29,54611,12,5,91.91,1,72,623,Retail Shop,0
36,141265,48,2,71.98,3,108,289,Farming,0
56,90123,12,2,97.31,2,342,447,Handicrafts,0
31,39934,36,7,98.25,0,136,475,Retail Shop,0
44,46519,24,2,93.16,0,304,373,Tailoring,0
47,146618,24,4,96.57,2,271,538,Retail Shop,0
44,176382,24,8,94.37,0,153,471,Farming,0
39,128236,36,2,92.56,0,209,231,Food Stall,0
24,157916,60,3,95.89,2,227,514,Tailoring,0
